Age,Job,Marital Status,Education,Default,Housing Loan,Personal Loan,Contact Type,Month,Day of Week,Last Call Duration,Calls in this Campaign,Days passed after previous campaign,Calls in previous Campaign,Previous Campaign Outcome,Employment Variation Rate,Consumer Price Index,Consumer Confidence Index,Euribor 3M,Number of people employed
30,Technician,Single,High school,No,Yes,No,Cellular,Aug,Fri,90,1,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
38,Admin.,Married,University degree,No,No,No,Cellular,Aug,Fri,14,9,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
35,Technician,Married,High school,No,Yes,No,Telephone,Aug,Fri,129,1,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
32,Management,Single,University degree,No,No,No,Cellular,Aug,Fri,157,1,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
33,Unemployed,Single,University degree,No,Yes,No,Telephone,Aug,Fri,145,1,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
35,Technician,Divorced,Professional course,Unknown,Yes,Yes,Cellular,Aug,Fri,161,3,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
48,Services,Married,High school,Unknown,No,No,Cellular,Aug,Fri,88,1,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
32,Admin.,Married,University degree,No,Yes,No,Cellular,Aug,Fri,122,2,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
35,Technician,Married,High school,No,No,No,Cellular,Aug,Fri,133,1,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
35,Technician,Married,High school,No,Unknown,Unknown,Cellular,Aug,Fri,61,2,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
51,Unknown,Married,Unknown,Unknown,Yes,No,Cellular,Aug,Fri,10,5,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
29,Admin.,Single,University degree,No,Yes,Yes,Cellular,Aug,Fri,493,1,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
47,Admin.,Married,University degree,No,No,No,Cellular,Aug,Fri,451,2,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
51,Admin.,Divorced,University degree,Unknown,No,No,Telephone,Aug,Fri,86,1,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
34,Technician,Married,University degree,No,Yes,No,Cellular,Aug,Fri,168,1,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
29,Technician,Married,Professional course,No,No,Yes,Cellular,Aug,Fri,370,2,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
35,Management,Married,University degree,No,Yes,No,Cellular,Aug,Fri,93,4,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
30,Admin.,Divorced,University degree,No,Yes,Yes,Cellular,Aug,Fri,201,1,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
51,Admin.,Divorced,University degree,Unknown,No,No,Cellular,Aug,Fri,59,2,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
52,Blue-collar,Married,Basic 9y,No,No,No,Cellular,Aug,Fri,85,8,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
29,Admin.,Single,University degree,No,Yes,No,Cellular,Aug,Fri,301,2,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
60,Admin.,Married,Basic 9y,No,Yes,No,Cellular,Aug,Fri,60,2,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
45,Admin.,Married,University degree,No,No,No,Cellular,Aug,Fri,27,2,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
38,Admin.,Married,University degree,No,Yes,No,Telephone,Aug,Fri,20,1,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
53,Management,Married,University degree,No,Yes,Yes,Telephone,Aug,Fri,81,1,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
53,Management,Married,University degree,No,No,No,Telephone,Aug,Fri,74,1,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
33,Unemployed,Married,University degree,No,Yes,No,Cellular,Aug,Fri,53,2,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
33,Admin.,Single,University degree,No,No,No,Cellular,Aug,Fri,35,3,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
35,Technician,Divorced,High school,Unknown,Yes,No,Telephone,Aug,Fri,117,1,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
50,Admin.,Married,Basic 9y,No,No,No,Cellular,Aug,Fri,215,3,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
31,Admin.,Married,University degree,No,Yes,No,Telephone,Aug,Fri,43,1,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
38,Technician,Divorced,Professional course,No,Yes,No,Cellular,Aug,Fri,73,2,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
41,Admin.,Married,University degree,No,No,No,Cellular,Aug,Fri,106,3,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
33,Admin.,Married,University degree,No,No,No,Telephone,Aug,Fri,120,1,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
41,Admin.,Married,University degree,No,No,No,Telephone,Aug,Fri,51,1,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
48,Blue-collar,Married,Basic 4y,No,Yes,No,Cellular,Aug,Fri,669,6,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
45,Technician,Married,Professional course,No,No,Yes,Cellular,Aug,Fri,46,5,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
33,Admin.,Married,University degree,No,No,No,Cellular,Aug,Fri,127,5,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
39,Housemaid,Married,Basic 4y,Unknown,Yes,No,Telephone,Aug,Fri,158,4,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
